start_date,country,area_name,shutdown_type,affected_network,shutdown_extent,ordered_by,actual_cause,shutdown_status
12/19/2016,India,"Bhilwara district, Rajasthan state",Shutdown,Mobile,Full network,Unknown,Unknown,NA
12/19/2016,Egypt,nationwide,Shutdown,"Broadband, Mobile",Service-based,Executive government,Unknown,NA
12/19/2016,Turkey,nationwide,Throttle,"Broadband, Mobile",Service-based,Executive government,Unknown,NA
12/27/2016,India,"Bhilwara district, Rajasthan state",Shutdown,Mobile,Full network,Unknown,Protests,NA
9/11/2013,Turkey,Nationwide,Shutdown,"Broadband, Mobile",Service-based,Executive government,Information control,Ongoing
9/15/2016,Indonesia,Nationwide,Shutdown,"Broadband, Mobile",Service-based,Executive government,Information control,Ongoing
10/28/2016,United Arab Emirates,Nationwide,Shutdown,"Broadband, Mobile",Service-based,Unknown,Information control,Ongoing
1/1/2017,Democratic Republic of the Congo,Nationwide,Shutdown,"Broadband, Mobile",Full network,Executive government,Protests,NA
1/14/2017,Philippines,Cebu,Shutdown,"Broadband, Mobile",Full network,Local government,Other,NA
1/17/2017,Cameroon,Angolophone region,Shutdown,"Broadband, Mobile",Full network,Executive government,Protests,NA
1/19/2017,India,Wokha (Nagaland),Shutdown,Mobile,Full network,Local government,Elections,NA
1/29/2017,India,Jhajjar district in Haryana state,Shutdown,Mobile,Full network,Local government,Protests,NA
1/30/2017,India,Nagaland state (entire state),Shutdown,"Broadband, Mobile",Full network,Unknown,Unknown,NA
1/31/2017,India,"Rohtak, Bhiwani, Hisar, Sonipat, and Panipat districts in Haryana state",Shutdown,Broadband,Full network,Local government,Protests,NA
2/1/2017,Iraq,nationwide,Shutdown,Mobile,Full network,Executive government,Unknown,NA
2/9/2017,Saudi Arabia,Nationwide,Shutdown,"Broadband, Mobile",Service-based,Unknown,Information control,Ongoing
2/17/2017,India,"Jhajjar, Panipat, Sonipat, Hisar, Rohtak, Jind, and Bhiwani districts in Haryana state",Shutdown,Mobile,Full network,Local government,Protests,NA
2/23/2017,Pakistan,Dalbandin in Balochistan,Shutdown,"Broadband, Mobile",Full network,Unknown,Unknown,NA
2/25/2017,India,Rohtak and Sonepat districts in Haryana state,Shutdown,Mobile,Full network,Local government,Protests,NA
3/15/2017,Pakistan,FATA,Shutdown,Mobile,Full network,Unknown,Conflict,NA
3/18/2017,India,"Many districts in Haryana state, including Rohtak, Sonipat, Jhajjar, Bhiwani, Panipat, Hisar, Kaithal, Charkhi Dadri, Fatehabad, Jind, and Sirsa",Shutdown,"Broadband, Mobile",Full network,Local government,Protests,NA
3/19/2017,Pakistan,Islamabad,Shutdown,Mobile,Full network,Unknown,Unknown,NA
3/25/2017,Belarus,Nationwide,Shutdown,"Broadband, Mobile",Full network,Executive government,Protests,NA
3/31/2017,India,Sikar district in Rajasthan state,Shutdown,"Broadband, Mobile",Full network,Local government,Unknown,NA
4/9/2017,India,"Entire Kashmir Valley, Jammu & Kashmir State",Shutdown,"Broadband, Mobile",Full network,Local government,Elections,NA
4/9/2017,India,"Bhadarak city, Odisha state",Shutdown,"Broadband, Mobile",Full network,Local government,Protests,NA
4/17/2017,India,"Entire Kashmir Valley, Jammu & Kashmir State",Shutdown,"Broadband, Mobile","Full network, Service-based",Local government,Protests,NA
4/18/2017,India,Udaipur district and Fatehnagar district in Rajasthan state,Shutdown,Mobile,Full network,Local government,Unknown,NA
4/19/2017,India,Kendrapara (Odisha),Shutdown,"Broadband, Mobile",Full network,Local government,Unknown,NA
4/28/2017,Iran,Nationwide,Shutdown,"Broadband, Mobile",Service-based,Local government,Elections,NA
5/12/2017,Iran,Nationwide,Shutdown,"Broadband, Mobile",Service-based,Unknown,Information control,Ongoing
5/15/2017,Ukraine,Nationwide,Shutdown,"Broadband, Mobile",Service-based,Executive government,Unknown,Ongoing
5/24/2017,India,"Saharanpur district, Uttar Pradesh state",Shutdown,"Broadband, Mobile","Full network, Service-based",Local government,Political instability,NA
5/24/2017,India,Saharanpur (Uttar Pradesh),Shutdown,"Broadband, Mobile",Full network,Local government,Political instability,NA
5/27/2017,India,Kashmir Valley,Shutdown,Mobile,Full network,Local government,Protests,NA
5/30/2017,Syrian Arab Republic,nationwide,Shutdown,"Broadband, Mobile",Full network,Unknown,Political instability,NA
5/30/2017,Ethiopia,Nationwide,Shutdown,"Broadband, Mobile",Full network,Executive government,Protests,NA
6/5/2017,India,Nashik (Maharashtra),Shutdown,Mobile,Full network,Local government,Protests,NA
6/6/2017,India,"Mandsaur, Ratlam & Ujjain (Madhya Pradesh)",Shutdown,Mobile,Full network,Local government,Protests,NA
6/7/2017,India,Kashmir Valley,Shutdown,Mobile,Full network,Local government,Protests,NA
6/7/2017,Iraq,nationwide,Throttle,"Broadband, Mobile",Full network,Unknown,Unknown,NA
6/8/2017,India,Saharanpur district in Uttar Pradesh state,Shutdown,"Broadband, Mobile",Full network,Local government,Protests,NA
6/12/2017,India,"Pulwama district, Jammu & Kashmir","Shutdown, Throttle","Broadband, Mobile",Full network,Local government,Protests,NA
6/12/2017,Algeria,Nationwide,Shutdown,Mobile,Full network,Executive government,Unknown,NA
6/18/2017,India,Darjeeling (West Bengal),Shutdown,"Broadband, Mobile",Full network,Local government,Protests,NA
6/30/2017,India,"Nagaur district and Churu district,  Rajasthan state",Shutdown,Mobile,Full network,Local government,Protests,NA
7/1/2017,India,"Anantnag district, Jammu & Kashmir state",Shutdown,Mobile,Full network,Local government,Political instability,NA
7/5/2017,India,Baduria and Bashirat (West Bengal),Shutdown,Mobile,Full network,Local government,Protests,NA
7/6/2017,India,Kashmir Valley,Shutdown,"Broadband, Mobile","Full network, Service-based",Local government,Protests,NA
7/10/2017,India,Large areas of Jammu & Kashmir State including both Jammu and the Kashmir valley,Shutdown,"Broadband, Mobile",Full network,Local government,Unknown,NA
7/11/2017,India,"Nagaur district, Bikaner district, Churu district and Sikar district in Rajasthan state",Shutdown,Mobile,Full network,Local government,Political instability,NA
7/11/2017,China,Nationwide,Shutdown,"Broadband, Mobile",Service-based,Executive government,Unknown,Ongoing
7/12/2017,Syrian Arab Republic,NA,Shutdown,"Broadband, Mobile",Full network,Unknown,Unknown,NA
7/14/2017,India,Morbi and Surendranagar districts of Gujarat,Shutdown,Mobile,Full network,Local government,Political instability,NA
7/16/2017,India,"Pulwama and Anantnag districts, Jammu & Kashmir State",Shutdown,"Broadband, Mobile",Full network,Local government,Other,NA
7/16/2017,Pakistan,Karachi and Hyderabad,Shutdown,Mobile,Full network,Local government,Unknown,NA
7/20/2017,Morocco,Al Hoceima,Shutdown,"Broadband, Mobile",Full network,Unknown,Protests,NA
7/20/2017,India,Tripura state,Shutdown,"Broadband, Mobile",Full network,Unknown,Unknown,NA
7/21/2017,India,"Budgam district, Jammu & Kashmir state",Shutdown,Mobile,Full network,Local government,Protests,NA
7/28/2017,Syrian Arab Republic,nationwide,Shutdown,"Broadband, Mobile",Full network,Executive government,Political instability,NA
7/29/2017,North Korea,Pyongyang,Shutdown,Mobile,Full network,Executive government,Information control,NA
7/30/2017,India,"Kashmir Valley, Jammu & Kashmir state",Shutdown,Mobile,Full network,Local government,Political instability,NA
8/5/2017,India,"Baramulla district and Bandipora district, Jammu & Kashmir state",Shutdown,"Broadband, Mobile",Full network,Local government,Political instability,NA
8/7/2017,Democratic Republic of the Congo,nationwide,Throttle,"Broadband, Mobile",Service-based,Executive government,Protests,NA
8/9/2017,India,"Pulwama district, Jammu & Kashmir state",Shutdown,"Broadband, Mobile",Full network,Local government,Protests,NA
8/10/2017,India,"Itanagar, Arunachal Pradesh",Shutdown,Mobile,Full network,Unknown,Unknown,NA
8/13/2017,India,"Shopian and Kulgam districts, Jammu & Kashmir state",Shutdown,Mobile,Full network,Local government,Protests,NA
8/14/2017,Pakistan,Islamabad/Rawalpindi,Shutdown,Mobile,Full network,Executive government,Unknown,NA
8/15/2017,India,Entire Kashmir Valley,Throttle,"Broadband, Mobile",Full network,Local government,Protests,NA
8/16/2017,India,Pulwama district of south Kashmir,Shutdown,"Broadband, Mobile",Full network,Local government,Unknown,NA
8/24/2017,India,"Punjab state, Haryana state, Chandigarh city (at the intersection of the Punjab and Haryana but part of no state), and the Sriganganagar district and Hanumangarh district in Rajasthan state.",Shutdown,"Broadband, Mobile",Full network,Local government,Other,NA
8/25/2017,India,districts of Sriganganagar and Hanumangarh,Shutdown,"Broadband, Mobile",Full network,Local government,Unknown,NA
8/26/2017,India,"Pulwama district, Jammu & Kashmir state",Shutdown,"Broadband, Mobile",Full network,Local government,Protests,NA
8/26/2017,Iraq,nationwide,Throttle,"Broadband, Mobile",Full network,Unknown,Unknown,NA
9/1/2017,India,"Kupwara district, Jammu & Kashmir state",Shutdown,"Broadband, Mobile",Full network,Unknown,Unknown,NA
9/2/2017,India,"Shopian district and Kulgam district, Jammu & Kashmir state",Shutdown,"Broadband, Mobile",Full network,Unknown,Political instability,NA
9/4/2017,India,"Kupwara district, Jammu & Kashmir state",Shutdown,"Broadband, Mobile",Full network,Unknown,Political instability,NA
9/5/2017,India,Seven districts in Bihar state,Shutdown,"Broadband, Mobile",Full network,Unknown,Unknown,NA
9/5/2017,Togo,nationwide,Throttle,Mobile,Full network,Executive government,Protests,NA
9/8/2017,India,Sirsa district in Haryana state,Shutdown,"Broadband, Mobile",Full network,Local government,Political instability,NA
9/9/2017,India,Ramganj and other parts of Jaipur city in Rajasthan state,Shutdown,"Broadband, Mobile",Full network,Local government,Other,NA
9/9/2017,India,Sopore town of Baramula district in Jammu and Kashmir,Shutdown,"Broadband, Mobile",Full network,Unknown,Political instability,NA
9/11/2017,India,Kulgam and Anantnag districts of Jammu and Kashmir,Shutdown,"Broadband, Mobile",Full network,Unknown,Political instability,NA
9/21/2017,India,Agartala city,Shutdown,"Broadband, Mobile",Full network,Unknown,Unknown,NA
9/26/2017,India,"north Kashmir’s Baramulla district, including Sopore town",Shutdown,"Broadband, Mobile",Full network,Local government,Political instability,NA
9/28/2017,India,"Nawada district, Bihar state",Shutdown,"Broadband, Mobile",Full network,Unknown,Unknown,NA
9/28/2017,Pakistan,"Various cities in Sindh: Karachi, Jacobabad, Shikarpur, Kashmore, Khairpur, Haripur, DI Khan and Lakki Marwat, among other areas.",Shutdown,"Broadband, Mobile","Full network, Service-based",Local government,Unknown,NA
9/30/2017,Cameroon,Anglophone region,Shutdown,"Broadband, Mobile","Full network, Service-based",Executive government,Protests,NA
10/1/2017,India,"Arwal, Jamui, Bhojpur, Katihar, Sitamarhi, and West Champaran districts in Bihar state",Shutdown,"Broadband, Mobile",Full network,Unknown,Unknown,NA
10/23/2017,Pakistan,Islamabad & Rawalpindi,Shutdown,"Broadband, Mobile",Full network,Unknown,Other,NA
10/27/2017,Equatorial Guinea,nationwide,Shutdown,"Broadband, Mobile",Service-based,Executive government,Elections,NA
11/2/2017,India,Pulwama district,Shutdown,Mobile,Full network,Unknown,Political instability,NA
11/9/2017,India,Sikar district,Shutdown,"Broadband, Mobile",Full network,Local government,Protests,NA
11/10/2017,Pakistan,"Cities of Karachi, Hyderabad, Peshawar and Quetta",Shutdown,"Broadband, Mobile",Full network,Unknown,Other,NA
11/12/2017,Equatorial Guinea,nationwide,Shutdown,"Broadband, Mobile",Full network,Executive government,Elections,NA
11/13/2017,Somalia,Somaliland,Shutdown,"Broadband, Mobile",Service-based,Executive government,Elections,NA
11/23/2017,India,"Aerocity Hotel, Indira Gandhi International Airport, New Delhi, Delhi 110037",Shutdown,"Broadband, Mobile",Full network,Unknown,Other,NA
11/24/2017,India,"13 districts in Haryana state (Jind, Hansi, Bhiwani, Hisar, Fatehabad, Karnal, Panipat, Kaithal, Rohtak, Sonipat, Jhajjar, Bhiwani and Charkhi Dadri)",Shutdown,Mobile,Full network,Local government,Protests,NA
11/25/2017,Pakistan,"Confirmed Karachi, Lahore, Faisalabad, Rawalpindi, Gujranwala, Islamabad, Quetta and Peshawar, likely nationwide",Shutdown,"Broadband, Mobile",Service-based,Executive government,Protests,NA
12/1/2017,Pakistan,"Karachi, Hyderabad, Sukkur, Quetta",Shutdown,"Broadband, Mobile",Full network,Local government,Unknown,NA
12/3/2017,India,Bhilwara district and Chittorgarh district of Rajasthan state,Shutdown,Broadband,Full network,Unknown,Political instability,NA
12/7/2017,Yemen,Nationwide,"Shutdown, Throttle",Broadband,"Full network, Service-based",Non-government,Conflict,NA
12/8/2017,India,Rajsamand district,Shutdown,Mobile,Full network,Local government,Information control,NA
12/11/2017,India,"Sopore district, Baramulla district, Handwara district and Kupwara district in Jammu & Kashmir state",Shutdown,Mobile,Full network,Unknown,Political instability,NA
12/12/2017,Ethiopia,Oromia region and Addis Ababa city,Shutdown,"Broadband, Mobile",Service-based,Unknown,Protests,NA
12/13/2017,India,Udaipur city,Shutdown,Mobile,Full network,Local government,Unknown,NA
12/16/2017,India,Adilabad district of Telangana,Shutdown,"Broadband, Mobile",Full network,Unknown,Unknown,NA
12/17/2017,India,Kupwara district in Jammu & Kashmir state,Shutdown,Mobile,Full network,Unknown,Protests,NA
12/18/2017,India,Pulwama district and Shopian district in Jammu and Kashmir state,Shutdown,Mobile,Full network,Unknown,Political instability,NA
12/20/2017,Iraq,"Sulaymaniyah, Kurdistan",Shutdown,"Broadband, Mobile",Full network,Local government,Unknown,NA
12/26/2017,India,Pulwama district in Jammu and Kashmir state,Shutdown,Mobile,Full network,Unknown,Political instability,NA
12/30/2017,Iran,Nationwide,Shutdown,"Broadband, Mobile","Full network, Service-based",Unknown,Protests,NA
12/31/2017,India,Rajsamand district and Udaipur district in Rajasthan state,Shutdown,Mobile,Full network,Local government,Protests,NA
12/31/2017,India,Pulwama district in Jammu and Kashmir state,Shutdown,Mobile,Full network,Unknown,Unknown,NA
12/31/2017,India,Bundi district in Rajasthan State,Shutdown,Mobile,Full network,Local government,Political instability,NA
1/1/2009,Pakistan,"Wana, South Waziristan",Shutdown,Mobile,Full network,Local government,Conflict,NA
5/1/2010,Yemen,Nationwide,Shutdown,"Broadband, Mobile",Service-based,Executive government,Other,Ongoing
9/11/2013,Turkey,Nationwide,Shutdown,"Broadband, Mobile",Service-based,Executive government,Information control,Ongoing
6/12/2016,Pakistan,Federally Administered Tribal Area (FATA),Shutdown,Mobile,Full network,Executive government,Conflict,Ended
9/15/2016,Indonesia,Nationwide,Shutdown,"Broadband, Mobile",Service-based,Executive government,Information control,Ongoing
10/28/2016,United Arab Emirates,Nationwide,Shutdown,"Broadband, Mobile",Service-based,Unknown,Information control,Ongoing
2/9/2017,Saudi Arabia,Nationwide,Shutdown,"Broadband, Mobile",Service-based,Unknown,Information control,Ongoing
5/12/2017,Iran,Nationwide,Shutdown,"Broadband, Mobile",Service-based,Unknown,Information control,Ongoing
1/1/2018,Ethiopia,All regions except Addis Abeba,Shutdown,Mobile,Full network,Executive government,Protests,NA
1/2/2018,India,"Bundi Town, Rajasthan",Shutdown,Mobile,Full network,Local government,Protests,NA
1/3/2018,India,Aurangabad district of Maharashtra,Shutdown,"Broadband, Mobile",Full network,Local government,Communal violence,Unknown
1/3/2018,India,Kolhapur district of Maharashtra,Shutdown,"Broadband, Mobile",Full network,Local government,Protests,NA
1/8/2018,India,"Budgam, Kashmir",Shutdown,Mobile,Full network,Local government,Political instability,NA
1/9/2018,Philippines,"Quiapo, Manila, and Cavite",Shutdown,Mobile,Full network,Executive government,Other,NA
1/10/2018,India,"Southern Kashmir division, Jammu & Kashmir province",Shutdown,"Broadband, Mobile",Full network,State government,Protests,NA
1/21/2018,Democratic Republic of the Congo,"Goma, Bukavu, Kinshasa",Shutdown,"Broadband, Mobile",Full network,Executive government,Protests,NA
1/24/2018,India,"Pulwama, Anantnag, Kulgam and Shopian districts of south Kashmir",Throttle,"Broadband, Mobile",Full network,State government,Protests,NA
1/25/2018,Chad,Nationwide,Shutdown,"Broadband, Mobile",Full network,Executive government,Protests,NA
1/25/2018,India,"Kashmir division, Jammu & Kashmir province",Shutdown,Mobile,Full network,State government,Protests,NA
1/27/2018,India,Kasganj district and west of Uttar Pradesh,Shutdown,"Broadband, Mobile",Full network,State government,Protests,NA
1/28/2018,India,"Kashmir valley outside of Pulwama, Anantnag, Kulgam and Shopian districts in Jammu and Kashmir State",Throttle,"Broadband, Mobile",Full network,State government,Protests,NA
1/28/2018,India,"Pulwama, Anantnag, Kulgam and Shopian districts in Jammu and Kashmir State",Throttle,"Broadband, Mobile",Full network,State government,Protests,NA
2/3/2018,India,"Baramulla city (perhaps including environs), Jammu & Kashmir State",Shutdown,Mobile,Full network,Local government,Political instability,NA
2/8/2018,South Korea,"Pyeongchang County, Gangwon Province",Shutdown,"Broadband, Mobile",Full network,Non-government,Other,NA
2/11/2018,India,"Jalore, Dhaulpur, Bikaner, Sikar, Karauli in Rajasthan",Shutdown,"Broadband, Mobile",Full network,State government,Exam cheating,NA
2/11/2018,Bangladesh,Nationwide,Throttle,"Broadband, Mobile",Full network,Executive government,Exam cheating,NA
2/11/2018,Bangladesh,Nationwide,Throttle,"Broadband, Mobile",Full network,Executive government,Unknown,NA
2/12/2018,India,"Srinagar city, Kashmir",Throttle,Mobile,Full network,Executive government,Political instability,NA
2/16/2018,India,Firozabad,Shutdown,Mobile,Full network,Local government,Other,NA
2/18/2018,India,"Tonk, Rajasthan",Shutdown,Mobile,Full network,Local government,Communal violence,NA
2/25/2018,Democratic Republic of the Congo,Nationwide,Shutdown,"Broadband, Mobile",Full network,Executive government,Protests,NA
3/1/2018,India,Bandipora district of Jammu and Kashmir,Shutdown,Mobile,Full network,Local government,Political instability,NA
3/4/2018,India,Shopian and Pulwama districts of Jammu and Kashmir and the rest of the valley,Throttle,Mobile,Full network,Local government,Political instability,NA
3/7/2018,Ethiopia,Oromia region,Shutdown,"Broadband, Mobile",Full network,Executive government,Protests,NA
3/7/2018,Sri Lanka,Nationwide,Shutdown,"Broadband, Mobile",Service-based,Executive government,Communal violence,NA
3/8/2018,India,Baramula and Delina area,Shutdown,"Broadband, Mobile",Full network,Local government,Political instability,NA
3/12/2018,India,Srinagar and south Kashmir area,Throttle,"Broadband, Mobile",Full network,Local government,Political instability,NA
3/15/2018,Kazakhstan,Nationwide,Throttle,"Broadband, Mobile",Full network,Executive government,Information control,Ongoing
3/17/2018,India,Bhagalpur district of Bihar,Shutdown,"Broadband, Mobile",Full network,Local government,Communal violence,NA
3/18/2018,India,"Tonk, Rajasthan",Shutdown,"Broadband, Mobile",Full network,Local government,Communal violence,NA
3/21/2018,Pakistan,"Islamabad, Rawalpindi",Shutdown,Mobile,Full network,Executive government,Other,NA
3/23/2018,Pakistan,"Islamabad, Rawalpindi",Shutdown,Mobile,Full network,Judiciary,Other,NA
3/24/2018,India,Odisha's Bhadrak district,Shutdown,"Broadband, Mobile",Full network,Local government,Unknown,NA
